"ano";"COD_DANE_DPTO_D";"DEPARTAMENTO_D";"COD_DANE_MUNIC_D";"MUNICIPIO_D";"quinquenio";"clase";"sexo";"poblacion"
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"0-4";"Cabecera Municipal";"hombres";54429
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"0-4";"Cabecera Municipal";"mujeres";54549
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"0-4";"Centros Poblados y Rural Disperso";"hombres";289
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"0-4";"Centros Poblados y Rural Disperso";"mujeres";278
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"10-14";"Cabecera Municipal";"hombres";41205
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"10-14";"Cabecera Municipal";"mujeres";39321
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"10-14";"Centros Poblados y Rural Disperso";"hombres";146
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"10-14";"Centros Poblados y Rural Disperso";"mujeres";129
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"15-19";"Cabecera Municipal";"hombres";42321
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"15-19";"Cabecera Municipal";"mujeres";43210
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"15-19";"Centros Poblados y Rural Disperso";"hombres";152
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"15-19";"Centros Poblados y Rural Disperso";"mujeres";157
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"20-24";"Cabecera Municipal";"hombres";43306
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"20-24";"Cabecera Municipal";"mujeres";47696
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"20-24";"Centros Poblados y Rural Disperso";"hombres";162
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"20-24";"Centros Poblados y Rural Disperso";"mujeres";185
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"25-29";"Cabecera Municipal";"hombres";37924
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"25-29";"Cabecera Municipal";"mujeres";42517
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"25-29";"Centros Poblados y Rural Disperso";"hombres";158
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"25-29";"Centros Poblados y Rural Disperso";"mujeres";171
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"30-34";"Cabecera Municipal";"hombres";29996
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"30-34";"Cabecera Municipal";"mujeres";34488
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"30-34";"Centros Poblados y Rural Disperso";"hombres";133
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"30-34";"Centros Poblados y Rural Disperso";"mujeres";138
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"35-39";"Cabecera Municipal";"hombres";23800
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"35-39";"Cabecera Municipal";"mujeres";27011
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"35-39";"Centros Poblados y Rural Disperso";"hombres";98
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"35-39";"Centros Poblados y Rural Disperso";"mujeres";104
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"40-44";"Cabecera Municipal";"hombres";18514
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"40-44";"Cabecera Municipal";"mujeres";20959
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"40-44";"Centros Poblados y Rural Disperso";"hombres";81
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"40-44";"Centros Poblados y Rural Disperso";"mujeres";79
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"45-49";"Cabecera Municipal";"hombres";14655
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"45-49";"Cabecera Municipal";"mujeres";16487
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"45-49";"Centros Poblados y Rural Disperso";"hombres";74
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"45-49";"Centros Poblados y Rural Disperso";"mujeres";53
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"5-9";"Cabecera Municipal";"hombres";46929
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"5-9";"Cabecera Municipal";"mujeres";46246
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"5-9";"Centros Poblados y Rural Disperso";"hombres";187
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"5-9";"Centros Poblados y Rural Disperso";"mujeres";174
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"50-54";"Cabecera Municipal";"hombres";12525
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"50-54";"Cabecera Municipal";"mujeres";14223
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"50-54";"Centros Poblados y Rural Disperso";"hombres";49
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"50-54";"Centros Poblados y Rural Disperso";"mujeres";31
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"55-59";"Cabecera Municipal";"hombres";10241
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"55-59";"Cabecera Municipal";"mujeres";11801
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"55-59";"Centros Poblados y Rural Disperso";"hombres";34
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"55-59";"Centros Poblados y Rural Disperso";"mujeres";25
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Cabecera Municipal";"hombres";7975
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Cabecera Municipal";"mujeres";9225
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Centros Poblados y Rural Disperso";"hombres";26
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Centros Poblados y Rural Disperso";"mujeres";21
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"65-69";"Cabecera Municipal";"hombres";5973
