from_id,05 - MEDELLÍN,08 - BARRANQUILLA,"11 - BOGOTÁ, D.C.",13 - CARTAGENA DE INDIAS,15 - TUNJA,17 - MANIZALES,18 - FLORENCIA,19 - POPAYÁN,20 - ASTREA,23 - MONTERÍA,25 - ALBÁN,27 - RIOSUCIO,41 - NEIVA,44 - BARRANCAS,47 - PEDRAZA,50 - VILLAVICENCIO,52 - SANDONÁ,54 - SAN JOSÉ DE CÚCUTA,63 - ARMENIA,66 - PEREIRA,68 - AGUADA,70 - SINCELEJO,73 - IBAGUÉ,76 - CALI,81 - ARAUCA,85 - YOPAL,86 - MOCOA,88 - SAN ANDRÉS,91 - LETICIA,94 - INÍRIDA,95 - SAN JOSÉ DEL GUAVIARE,97 - MITÚ,99 - SANTA ROSALÍA
05 - MEDELLÍN,0,713.76,NA,646.96,418.99,218.04,819.69,576.08,647.66,420.59,342.57,NA,603.07,NA,622.81,524.27,826.83,613.82,315.44,258.52,360.42,466.75,376.12,447.8,NA,632.45,915.08,NA,NA,NA,NA,NA,NA
08 - BARRANQUILLA,721.85,0,NA,118.68,871.34,932.15,1416.43,1290.19,284.21,389.95,939.3,NA,1199.8,NA,133.45,1121,1705.83,680.9,1097.76,972.63,862.13,257.88,1008.35,1161.91,NA,1112.1,1511.81,NA,NA,NA,NA,NA,NA
"11 - BOGOTÁ, D.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13 - CARTAGENA DE INDIAS,654.51,119.46,NA,0,906.46,864.81,1384.28,1222.85,342.05,322.62,907.15,NA,1167.65,NA,208.24,1088.85,1673.68,716.02,962.21,905.29,897.25,190.54,976.2,1094.57,NA,1147.22,1479.66,NA,NA,NA,NA,NA,NA
15 - TUNJA,420.34,869.97,NA,907.87,0,411,677.77,732.2,638.56,658.65,185.24,NA,461.15,NA,825.12,269.63,967.17,446.63,426.12,462.37,113.77,704.81,343.7,609.39,NA,254.25,773.16,NA,NA,NA,NA,NA,NA
17 - MANIZALES,219.46,930.9,NA,864.1,418.68,0,593.51,400.91,819.84,637.73,234.78,NA,376.89,NA,839.96,407.62,651.66,786,110.72,72.09,532.6,683.89,171.4,272.63,NA,689.06,688.9,NA,NA,NA,NA,NA,NA
18 - FLORENCIA,820.82,1414.14,NA,1384.48,669.09,603.88,0,271.87,1182.73,1158.11,524.49,NA,233.57,NA,1369.29,636.74,423.38,1148.89,518.89,555.14,767.54,1204.27,436.48,405.35,NA,918.18,229.36,NA,NA,NA,NA,NA,NA
19 - POPAYÁN,573.38,1284.83,NA,1218.03,713.73,397.59,306.4,0,1162.3,991.65,569.13,NA,278.22,NA,1193.88,681.38,264.65,1128.46,307.81,338.2,812.18,1037.82,394.58,145.47,NA,962.82,286.25,NA,NA,NA,NA,NA,NA
20 - ASTREA,648,281.64,NA,342.28,637.54,819.15,1182.63,1175.51,0,433.02,705.5,NA,966.01,NA,236.8,887.21,1472.03,447.1,863.97,898.77,628.34,300.94,774.56,1047.24,NA,878.31,1278.02,NA,NA,NA,NA,NA,NA
23 - MONTERÍA,428.83,394.41,NA,327.6,658.68,639.12,1158.59,997.16,437.27,0,681.46,NA,941.97,NA,303.46,863.17,1447.99,731.38,736.53,679.6,600.12,147.4,750.51,868.89,NA,872.15,1253.97,NA,NA,NA,NA,NA,NA
