id,lon,lat,depto_id,departamento,municipio,distancia_km,duracion_min
08 - BARRANQUILLA,-74.82327474010296,11.009633039000107,08,08,BARRANQUILLA,0,0
13 - CARTAGENA DE INDIAS,-75.49085578251515,10.41666443300008,13,13,CARTAGENA DE INDIAS,118.68,102.76866666666666
47 - PEDRAZA,-74.83816250546988,10.148774882000112,47,47,PEDRAZA,133.45,236.55616666666668
70 - SINCELEJO,-75.42769456524158,9.327757536000092,70,70,SINCELEJO,257.88,192.61499999999998
20 - ASTREA,-73.9518324689717,9.507540493500045,20,20,ASTREA,284.21,222.625
23 - MONTERÍA,-75.97920527629944,8.610998321000153,23,23,MONTERÍA,389.95,312.17033333333336
54 - SAN JOSÉ DE CÚCUTA,-72.468758731585325,8.076384268500078,54,54,SAN JOSÉ DE CÚCUTA,680.9,568.3451666666666
05 - MEDELLÍN,-75.60176963269353,6.268778177500053,05,05,MEDELLÍN,721.85,585.5206666666667
68 - AGUADA,-73.51550701776183,6.181690199000087,68,68,AGUADA,862.13,660.0110000000001
15 - TUNJA,-73.37940851345166,5.515278596500082,15,15,TUNJA,871.34,702.4216666666667
17 - MANIZALES,-75.50719784889523,5.0742344930001195,17,17,MANIZALES,932.15,791.1233333333333
25 - ALBÁN,-74.43516475553182,4.89268776250006,25,25,ALBÁN,939.3,725.524
66 - PEREIRA,-75.78727588343251,4.784559396500185,66,66,PEREIRA,972.63,825.566
73 - IBAGUÉ,-75.23165961676546,4.478597848000078,73,73,IBAGUÉ,1008.35,752.0503333333332
63 - ARMENIA,-75.741162886379,4.491599480000076,63,63,ARMENIA,1097.76,852.3855
85 - YOPAL,-72.2411718938632,5.236945886000086,85,85,YOPAL,1112.1,952.6358333333334
50 - VILLAVICENCIO,-73.50446301619152,4.112346659000082,50,50,VILLAVICENCIO,1121,904.5443333333334
76 - CALI,-76.58183404216106,3.4107223060001104,76,76,CALI,1161.91,1007.4728333333334
41 - NEIVA,-75.26046495667134,3.003603088000034,41,41,NEIVA,1199.8,898.3103333333333
19 - POPAYÁN,-76.54602167292015,2.4424067350000485,19,19,POPAYÁN,1290.19,1169.679
18 - FLORENCIA,-75.60533191979948,1.7584175155000707,18,18,FLORENCIA,1416.43,1049.0905
86 - MOCOA,-76.64971519485644,1.1679318495001496,86,86,MOCOA,1511.81,1116.4613333333332
52 - SANDONÁ,-77.47348598743446,1.2975590685001066,52,52,SANDONÁ,1705.83,1375.2698333333333
"11 - BOGOTÁ, D.C.",-74.17478160484329,4.2838941090001015,11,11,"BOGOTÁ, D.C.",NA,NA
27 - RIOSUCIO,-77.1746479391133,7.340763043000095,27,27,RIOSUCIO,NA,NA
44 - BARRANCAS,-72.69581189617142,10.977974379500068,44,44,BARRANCAS,NA,NA
81 - ARAUCA,-70.49618386038156,6.794668425000111,81,81,ARAUCA,NA,NA
88 - SAN ANDRÉS,-81.72037345637304,12.537594482000145,88,88,SAN ANDRÉS,NA,NA
91 - LETICIA,-70.08756762805231,-3.570916459999893,91,91,LETICIA,NA,NA
94 - INÍRIDA,-68.390290168268,3.202354931500082,94,94,INÍRIDA,NA,NA
95 - SAN JOSÉ DEL GUAVIARE,-71.81755865946016,2.4685678190001568,95,95,SAN JOSÉ DEL GUAVIARE,NA,NA
97 - MITÚ,-70.47774236635007,0.9710147455000708,97,97,MITÚ,NA,NA
99 - SANTA ROSALÍA,-70.66532714822364,5.041455007000081,99,99,SANTA ROSALÍA,NA,NA
