from_id,to_id,dist_km,from_depto,from_mpio,from_depto_id,to_depto,to_mpio,to_depto_id
05 - MEDELLÍN,08 - BARRANQUILLA,NA,05,MEDELLÍN,05,08,BARRANQUILLA,08
05 - MEDELLÍN,"11 - BOGOTÁ, D.C.",NA,05,MEDELLÍN,05,11,"BOGOTÁ, D.C.",11
08 - BARRANQUILLA,"11 - BOGOTÁ, D.C.",NA,08,BARRANQUILLA,08,11,"BOGOTÁ, D.C.",11
05 - MEDELLÍN,13 - CARTAGENA DE INDIAS,NA,05,MEDELLÍN,05,13,CARTAGENA DE INDIAS,13
08 - BARRANQUILLA,13 - CARTAGENA DE INDIAS,NA,08,BARRANQUILLA,08,13,CARTAGENA DE INDIAS,13
"11 - BOGOTÁ, D.C.",13 - CARTAGENA DE INDIAS,NA,11,"BOGOTÁ, D.C.",11,13,CARTAGENA DE INDIAS,13
05 - MEDELLÍN,15 - TUNJA,NA,05,MEDELLÍN,05,15,TUNJA,15
08 - BARRANQUILLA,15 - TUNJA,NA,08,BARRANQUILLA,08,15,TUNJA,15
"11 - BOGOTÁ, D.C.",15 - TUNJA,NA,11,"BOGOTÁ, D.C.",11,15,TUNJA,15
13 - CARTAGENA DE INDIAS,15 - TUNJA,NA,13,CARTAGENA DE INDIAS,13,15,TUNJA,15
05 - MEDELLÍN,17 - MANIZALES,NA,05,MEDELLÍN,05,17,MANIZALES,17
08 - BARRANQUILLA,17 - MANIZALES,NA,08,BARRANQUILLA,08,17,MANIZALES,17
"11 - BOGOTÁ, D.C.",17 - MANIZALES,NA,11,"BOGOTÁ, D.C.",11,17,MANIZALES,17
13 - CARTAGENA DE INDIAS,17 - MANIZALES,NA,13,CARTAGENA DE INDIAS,13,17,MANIZALES,17
15 - TUNJA,17 - MANIZALES,NA,15,TUNJA,15,17,MANIZALES,17
05 - MEDELLÍN,18 - FLORENCIA,NA,05,MEDELLÍN,05,18,FLORENCIA,18
08 - BARRANQUILLA,18 - FLORENCIA,NA,08,BARRANQUILLA,08,18,FLORENCIA,18
"11 - BOGOTÁ, D.C.",18 - FLORENCIA,NA,11,"BOGOTÁ, D.C.",11,18,FLORENCIA,18
13 - CARTAGENA DE INDIAS,18 - FLORENCIA,NA,13,CARTAGENA DE INDIAS,13,18,FLORENCIA,18
15 - TUNJA,18 - FLORENCIA,NA,15,TUNJA,15,18,FLORENCIA,18
17 - MANIZALES,18 - FLORENCIA,NA,17,MANIZALES,17,18,FLORENCIA,18
05 - MEDELLÍN,19 - POPAYÁN,NA,05,MEDELLÍN,05,19,POPAYÁN,19
08 - BARRANQUILLA,19 - POPAYÁN,NA,08,BARRANQUILLA,08,19,POPAYÁN,19
"11 - BOGOTÁ, D.C.",19 - POPAYÁN,NA,11,"BOGOTÁ, D.C.",11,19,POPAYÁN,19
13 - CARTAGENA DE INDIAS,19 - POPAYÁN,NA,13,CARTAGENA DE INDIAS,13,19,POPAYÁN,19
15 - TUNJA,19 - POPAYÁN,NA,15,TUNJA,15,19,POPAYÁN,19
17 - MANIZALES,19 - POPAYÁN,NA,17,MANIZALES,17,19,POPAYÁN,19
18 - FLORENCIA,19 - POPAYÁN,NA,18,FLORENCIA,18,19,POPAYÁN,19
05 - MEDELLÍN,20 - ASTREA,NA,05,MEDELLÍN,05,20,ASTREA,20
08 - BARRANQUILLA,20 - ASTREA,NA,08,BARRANQUILLA,08,20,ASTREA,20
"11 - BOGOTÁ, D.C.",20 - ASTREA,NA,11,"BOGOTÁ, D.C.",11,20,ASTREA,20
13 - CARTAGENA DE INDIAS,20 - ASTREA,NA,13,CARTAGENA DE INDIAS,13,20,ASTREA,20
15 - TUNJA,20 - ASTREA,NA,15,TUNJA,15,20,ASTREA,20
17 - MANIZALES,20 - ASTREA,NA,17,MANIZALES,17,20,ASTREA,20
18 - FLORENCIA,20 - ASTREA,NA,18,FLORENCIA,18,20,ASTREA,20
19 - POPAYÁN,20 - ASTREA,NA,19,POPAYÁN,19,20,ASTREA,20
05 - MEDELLÍN,23 - MONTERÍA,NA,05,MEDELLÍN,05,23,MONTERÍA,23
08 - BARRANQUILLA,23 - MONTERÍA,NA,08,BARRANQUILLA,08,23,MONTERÍA,23
"11 - BOGOTÁ, D.C.",23 - MONTERÍA,NA,11,"BOGOTÁ, D.C.",11,23,MONTERÍA,23
13 - CARTAGENA DE INDIAS,23 - MONTERÍA,NA,13,CARTAGENA DE INDIAS,13,23,MONTERÍA,23
15 - TUNJA,23 - MONTERÍA,NA,15,TUNJA,15,23,MONTERÍA,23
17 - MANIZALES,23 - MONTERÍA,NA,17,MANIZALES,17,23,MONTERÍA,23
18 - FLORENCIA,23 - MONTERÍA,NA,18,FLORENCIA,18,23,MONTERÍA,23
19 - POPAYÁN,23 - MONTERÍA,NA,19,POPAYÁN,19,23,MONTERÍA,23
20 - ASTREA,23 - MONTERÍA,NA,20,ASTREA,20,23,MONTERÍA,23
05 - MEDELLÍN,25 - ALBÁN,NA,05,MEDELLÍN,05,25,ALBÁN,25
08 - BARRANQUILLA,25 - ALBÁN,NA,08,BARRANQUILLA,08,25,ALBÁN,25
"11 - BOGOTÁ, D.C.",25 - ALBÁN,NA,11,"BOGOTÁ, D.C.",11,25,ALBÁN,25
13 - CARTAGENA DE INDIAS,25 - ALBÁN,NA,13,CARTAGENA DE INDIAS,13,25,ALBÁN,25
15 - TUNJA,25 - ALBÁN,NA,15,TUNJA,15,25,ALBÁN,25
17 - MANIZALES,25 - ALBÁN,NA,17,MANIZALES,17,25,ALBÁN,25
18 - FLORENCIA,25 - ALBÁN,NA,18,FLORENCIA,18,25,ALBÁN,25
19 - POPAYÁN,25 - ALBÁN,NA,19,POPAYÁN,19,25,ALBÁN,25
