from_id,to_id,dist_km,dur_min
63 - ARMENIA,66 - PEREIRA,62.51,84.926
17 - MANIZALES,66 - PEREIRA,72.09,83.29366666666667
63 - ARMENIA,73 - IBAGUÉ,94.52,109.12183333333334
17 - MANIZALES,63 - ARMENIA,110.72,137.89066666666668
15 - TUNJA,68 - AGUADA,113.77,153.54716666666667
08 - BARRANQUILLA,13 - CARTAGENA DE INDIAS,118.68,102.76866666666666
66 - PEREIRA,73 - IBAGUÉ,123.38,145.25716666666668
08 - BARRANQUILLA,47 - PEDRAZA,133.45,236.55616666666668
19 - POPAYÁN,76 - CALI,145.47,199.72383333333335
23 - MONTERÍA,70 - SINCELEJO,147.4,137.68366666666668
47 - PEDRAZA,70 - SINCELEJO,167.06,181.42033333333333
17 - MANIZALES,73 - IBAGUÉ,171.4,200.59633333333335
25 - ALBÁN,73 - IBAGUÉ,175.66,183.09099999999998
63 - ARMENIA,76 - CALI,181.47,193.82466666666667
25 - ALBÁN,50 - VILLAVICENCIO,181.71,179.02616666666665
15 - TUNJA,25 - ALBÁN,185.24,190.97916666666666
13 - CARTAGENA DE INDIAS,70 - SINCELEJO,190.54,153.1345
52 - SANDONÁ,86 - MOCOA,195.33,260.467
13 - CARTAGENA DE INDIAS,47 - PEDRAZA,208.24,219.80450000000002
05 - MEDELLÍN,17 - MANIZALES,218.04,219.8671666666667
66 - PEREIRA,76 - CALI,218.44,218.61616666666666
41 - NEIVA,73 - IBAGUÉ,219.61,192.94633333333334
18 - FLORENCIA,86 - MOCOA,229.36,186.09099999999998
18 - FLORENCIA,41 - NEIVA,233.57,180.02366666666666
17 - MANIZALES,25 - ALBÁN,234.78,265.96633333333335
20 - ASTREA,47 - PEDRAZA,236.8,236.689
15 - TUNJA,85 - YOPAL,254.25,301.8411666666667
08 - BARRANQUILLA,70 - SINCELEJO,257.88,192.61499999999998
05 - MEDELLÍN,66 - PEREIRA,258.52,254.30983333333333
19 - POPAYÁN,52 - SANDONÁ,264.65,357.992
25 - ALBÁN,63 - ARMENIA,265.07,283.42600000000004
15 - TUNJA,50 - VILLAVICENCIO,269.63,256.74816666666663
18 - FLORENCIA,19 - POPAYÁN,271.87,346.84933333333333
17 - MANIZALES,76 - CALI,272.63,273.3351666666667
25 - ALBÁN,68 - AGUADA,276.35,282.70466666666664
19 - POPAYÁN,41 - NEIVA,278.22,316.0466666666667
73 - IBAGUÉ,76 - CALI,278.5,316.01666666666665
08 - BARRANQUILLA,20 - ASTREA,284.21,222.625
19 - POPAYÁN,86 - MOCOA,286.25,357.03933333333333
20 - ASTREA,70 - SINCELEJO,300.94,228.03966666666665
25 - ALBÁN,66 - PEREIRA,301.32,327.9035
41 - NEIVA,63 - ARMENIA,302.02,287.5955
23 - MONTERÍA,47 - PEDRAZA,303.46,302.9001666666666
50 - VILLAVICENCIO,73 - IBAGUÉ,307.11,315.64833333333337
19 - POPAYÁN,63 - ARMENIA,307.81,349.53683333333333
25 - ALBÁN,41 - NEIVA,308.13,290.5586666666667
50 - VILLAVICENCIO,85 - YOPAL,310.2,270.02483333333333
05 - MEDELLÍN,63 - ARMENIA,315.44,319.706
68 - AGUADA,85 - YOPAL,320.46,374.0945
13 - CARTAGENA DE INDIAS,23 - MONTERÍA,322.62,272.69
41 - NEIVA,86 - MOCOA,330.04,248.37483333333333
19 - POPAYÁN,66 - PEREIRA,338.2,365.8258333333333
41 - NEIVA,66 - PEREIRA,338.27,332.07283333333334
13 - CARTAGENA DE INDIAS,20 - ASTREA,342.05,266.4885
05 - MEDELLÍN,25 - ALBÁN,342.57,364.42133333333334
15 - TUNJA,73 - IBAGUÉ,343.7,357.39616666666666
05 - MEDELLÍN,68 - AGUADA,360.42,364.44
50 - VILLAVICENCIO,68 - AGUADA,369.76,359.9368333333333
05 - MEDELLÍN,73 - IBAGUÉ,376.12,382.4116666666667
17 - MANIZALES,41 - NEIVA,376.89,360.8455
41 - NEIVA,76 - CALI,377.94,447.033
50 - VILLAVICENCIO,63 - ARMENIA,389.53,410.29749999999996
08 - BARRANQUILLA,23 - MONTERÍA,389.95,312.17033333333336
19 - POPAYÁN,73 - IBAGUÉ,394.58,449.7545
52 - SANDONÁ,76 - CALI,396.43,527.3548333333333
