id,lon,lat,depto_id,mpio_id,departamento,municipio,distancia_km,duracion_min
13 - CARTAGENA DE INDIAS,-75.49085578251515,10.41666443300008,13,001,13,CARTAGENA DE INDIAS,118.68,102.76866666666666
70 - SINCELEJO,-75.42769456524158,9.327757536000092,70,001,70,SINCELEJO,257.88,192.61499999999998
44 - RIOHACHA,-72.88251486118817,11.235205448000102,44,001,44,RIOHACHA,267.02,212.52783333333335
20 - VALLEDUPAR,-73.36690190071242,10.343109698000006,20,001,20,VALLEDUPAR,299.64,225.3075
23 - MONTERÍA,-75.97920527629944,8.610998321000153,23,001,23,MONTERÍA,389.95,312.17033333333336
68 - BUCARAMANGA,-73.104399171091,7.167011159000111,68,001,68,BUCARAMANGA,591,475.16749999999996
54 - SAN JOSÉ DE CÚCUTA,-72.468758731585325,8.076384268500078,54,001,54,SAN JOSÉ DE CÚCUTA,680.9,568.3451666666666
05 - MEDELLÍN,-75.60176963269353,6.268778177500053,05,001,05,MEDELLÍN,721.85,585.5206666666667
15 - TUNJA,-73.37940851345166,5.515278596500082,15,001,15,TUNJA,871.34,702.4216666666667
17 - MANIZALES,-75.50719784889523,5.0742344930001195,17,001,17,MANIZALES,932.15,791.1233333333333
66 - PEREIRA,-75.78727588343251,4.784559396500185,66,001,66,PEREIRA,972.63,825.566
25 - AGUA DE DIOS,-74.6656490033871,4.3723293590000765,25,001,25,AGUA DE DIOS,1001.65,791.537
73 - IBAGUÉ,-75.23165961676546,4.478597848000078,73,001,73,IBAGUÉ,1008.35,752.0503333333332
63 - ARMENIA,-75.741162886379,4.491599480000076,63,001,63,ARMENIA,1097.76,852.3855
85 - YOPAL,-72.2411718938632,5.236945886000086,85,001,85,YOPAL,1112.1,952.6358333333334
50 - VILLAVICENCIO,-73.50446301619152,4.112346659000082,50,001,50,VILLAVICENCIO,1121,904.5443333333334
76 - CALI,-76.58183404216106,3.4107223060001104,76,001,76,CALI,1161.91,1007.4728333333334
41 - NEIVA,-75.26046495667134,3.003603088000034,41,001,41,NEIVA,1199.8,898.3103333333333
19 - POPAYÁN,-76.54602167292015,2.4424067350000485,19,001,19,POPAYÁN,1290.19,1169.679
18 - FLORENCIA,-75.60533191979948,1.7584175155000707,18,001,18,FLORENCIA,1416.43,1049.0905
86 - MOCOA,-76.64971519485644,1.1679318495001496,86,001,86,MOCOA,1511.81,1116.4613333333332
52 - PASTO,-77.20540899398634,1.087562116000072,52,001,52,PASTO,1690.43,1379.135
"11 - BOGOTÁ, D.C.",-74.17478160484329,4.2838941090001015,11,001,11,"BOGOTÁ, D.C.",NA,NA
27 - QUIBDÓ,-76.3444825043206,5.983814703500087,27,001,27,QUIBDÓ,NA,NA
47 - SANTA MARTA,-73.8795629755872,11.086420788500078,47,001,47,SANTA MARTA,NA,NA
81 - ARAUCA,-70.49618386038156,6.794668425000111,81,001,81,ARAUCA,NA,NA
88 - SAN ANDRÉS,-81.72037345637304,12.537594482000145,88,001,88,SAN ANDRÉS,NA,NA
91 - LETICIA,-70.08756762805231,-3.570916459999893,91,001,91,LETICIA,NA,NA
94 - INÍRIDA,-68.390290168268,3.202354931500082,94,001,94,INÍRIDA,NA,NA
95 - SAN JOSÉ DEL GUAVIARE,-71.81755865946016,2.4685678190001568,95,001,95,SAN JOSÉ DEL GUAVIARE,NA,NA
97 - MITÚ,-70.47774236635007,0.9710147455000708,97,001,97,MITÚ,NA,NA
99 - PUERTO CARREÑO,-68.20727186991729,5.813443598000191,99,001,99,PUERTO CARREÑO,NA,NA
