id,depto_id,departamento,municipio,distancia_km,duracion_min
05 - MEDELLÍN,05,05,MEDELLÍN,NA,NA
08 - BARRANQUILLA,08,08,BARRANQUILLA,NA,NA
"11 - BOGOTÁ, D.C.",11,11,"BOGOTÁ, D.C.",NA,NA
13 - CARTAGENA DE INDIAS,13,13,CARTAGENA DE INDIAS,NA,NA
15 - TUNJA,15,15,TUNJA,NA,NA
17 - MANIZALES,17,17,MANIZALES,NA,NA
18 - FLORENCIA,18,18,FLORENCIA,NA,NA
19 - POPAYÁN,19,19,POPAYÁN,NA,NA
20 - ASTREA,20,20,ASTREA,NA,NA
23 - MONTERÍA,23,23,MONTERÍA,NA,NA
25 - ALBÁN,25,25,ALBÁN,NA,NA
27 - RIOSUCIO,27,27,RIOSUCIO,NA,NA
41 - NEIVA,41,41,NEIVA,NA,NA
44 - BARRANCAS,44,44,BARRANCAS,NA,NA
47 - PEDRAZA,47,47,PEDRAZA,NA,NA
50 - VILLAVICENCIO,50,50,VILLAVICENCIO,NA,NA
52 - SANDONÁ,52,52,SANDONÁ,NA,NA
54 - SAN JOSÉ DE CÚCUTA,54,54,SAN JOSÉ DE CÚCUTA,NA,NA
63 - ARMENIA,63,63,ARMENIA,NA,NA
66 - PEREIRA,66,66,PEREIRA,NA,NA
68 - AGUADA,68,68,AGUADA,NA,NA
70 - SINCELEJO,70,70,SINCELEJO,NA,NA
73 - IBAGUÉ,73,73,IBAGUÉ,NA,NA
76 - CALI,76,76,CALI,NA,NA
81 - ARAUCA,81,81,ARAUCA,NA,NA
85 - YOPAL,85,85,YOPAL,NA,NA
86 - MOCOA,86,86,MOCOA,NA,NA
88 - SAN ANDRÉS,88,88,SAN ANDRÉS,NA,NA
91 - LETICIA,91,91,LETICIA,NA,NA
94 - INÍRIDA,94,94,INÍRIDA,NA,NA
95 - SAN JOSÉ DEL GUAVIARE,95,95,SAN JOSÉ DEL GUAVIARE,NA,NA
97 - MITÚ,97,97,MITÚ,NA,NA
99 - SANTA ROSALÍA,99,99,SANTA ROSALÍA,NA,NA
