"ano";"COD_DANE_DPTO";"DEPARTAMENTO_TC";"COD_DANE_MUNI";"MUNICIPIO_TC";"valor";"valor_pct"
2022;"68";"Santander";"68001";"Bucaramanga";71,89;71,89
2022;"68";"Santander";"68013";"Aguada";45,32;45,32
2022;"68";"Santander";"68020";"Albania";32,69;32,69
2022;"68";"Santander";"68051";"Aratoca";46,47;46,47
2022;"68";"Santander";"68077";"Barbosa";57,06;57,06
2022;"68";"Santander";"68079";"Barichara";74,13;74,13
2022;"68";"Santander";"68081";"Barrancabermeja";68,1;68,1
2022;"68";"Santander";"68092";"Betulia";65,12;65,12
2022;"68";"Santander";"68101";"Bolívar";50,94;50,94
2022;"68";"Santander";"68121";"Cabrera";68,04;68,04
2022;"68";"Santander";"68132";"California";43,96;43,96
2022;"68";"Santander";"68147";"Capitanejo";54,53;54,53
2022;"68";"Santander";"68152";"Carcasí";42,55;42,55
2022;"68";"Santander";"68160";"Cepitá";43,31;43,31
2022;"68";"Santander";"68162";"Cerrito";42,62;42,62
2022;"68";"Santander";"68167";"Charalá";50,43;50,43
2022;"68";"Santander";"68169";"Charta";38,8;38,8
2022;"68";"Santander";"68176";"Chima";49,91;49,91
2022;"68";"Santander";"68179";"Chipatá";57,63;57,63
2022;"68";"Santander";"68190";"Cimitarra";58,36;58,36
2022;"68";"Santander";"68207";"Concepción";53,65;53,65
2022;"68";"Santander";"68209";"Confines";62,21;62,21
2022;"68";"Santander";"68211";"Contratación";52,13;52,13
2022;"68";"Santander";"68217";"Coromoro";63,78;63,78
2022;"68";"Santander";"68229";"Curití";68,74;68,74
2022;"68";"Santander";"68235";"El Carmen de Chucurí";45,25;45,25
2022;"68";"Santander";"68245";"El Guacamayo";62,71;62,71
2022;"68";"Santander";"68250";"El Peñón";43,78;43,78
2022;"68";"Santander";"68255";"El Playón";41,54;41,54
2022;"68";"Santander";"68264";"Encino";56,49;56,49
2022;"68";"Santander";"68266";"Enciso";49,68;49,68
2022;"68";"Santander";"68271";"Florián";55,8;55,8
2022;"68";"Santander";"68276";"Floridablanca";68,85;68,85
2022;"68";"Santander";"68296";"Galán";67,13;67,13
2022;"68";"Santander";"68298";"Gámbita";53,33;53,33
2022;"68";"Santander";"68307";"Girón";64,03;64,03
2022;"68";"Santander";"68318";"Guaca";61,28;61,28
2022;"68";"Santander";"68320";"Guadalupe";54,97;54,97
2022;"68";"Santander";"68322";"Guapotá";49,24;49,24
2022;"68";"Santander";"68324";"Guavatá";57,74;57,74
2022;"68";"Santander";"68327";"Güepsa";59,02;59,02
2022;"68";"Santander";"68344";"Hato";49,35;49,35
2022;"68";"Santander";"68368";"Jesús María";40,56;40,56
2022;"68";"Santander";"68370";"Jordán";33,26;33,26
2022;"68";"Santander";"68377";"La Belleza";50,16;50,16
2022;"68";"Santander";"68385";"Landázuri";48,98;48,98
2022;"68";"Santander";"68397";"La Paz";38,33;38,33
2022;"68";"Santander";"68406";"Lebrija";69,77;69,77
2022;"68";"Santander";"68418";"Los Santos";54,37;54,37
2022;"68";"Santander";"68425";"Macaravita";48,98;48,98
2022;"68";"Santander";"68432";"Málaga";57,46;57,46
2022;"68";"Santander";"68444";"Matanza";34,81;34,81
2022;"68";"Santander";"68464";"Mogotes";59,71;59,71
2022;"68";"Santander";"68468";"Molagavita";59,17;59,17
2022;"68";"Santander";"68498";"Ocamonte";59,37;59,37
2022;"68";"Santander";"68500";"Oiba";58,37;58,37
2022;"68";"Santander";"68502";"Onzaga";60,91;60,91
2022;"68";"Santander";"68522";"Palmar";53,09;53,09
2022;"68";"Santander";"68524";"Palmas del Socorro";61,91;61,91
2022;"68";"Santander";"68533";"Páramo";57,04;57,04
2022;"68";"Santander";"68547";"Piedecuesta";66,8;66,8
2022;"68";"Santander";"68549";"Pinchote";67,03;67,03
2022;"68";"Santander";"68572";"Puente Nacional";61,2;61,2
2022;"68";"Santander";"68573";"Puerto Parra";37,17;37,17
2022;"68";"Santander";"68575";"Puerto Wilches";67,02;67,02
2022;"68";"Santander";"68615";"Rionegro";62,71;62,71
2022;"68";"Santander";"68655";"Sabana de Torres";64,64;64,64
2022;"68";"Santander";"68669";"San Andrés";57,9;57,9
2022;"68";"Santander";"68673";"San Benito";53,02;53,02
2022;"68";"Santander";"68679";"San Gil";57,15;57,15
2022;"68";"Santander";"68682";"San Joaquín";64,02;64,02
2022;"68";"Santander";"68684";"San José de Miranda";45,05;45,05
2022;"68";"Santander";"68686";"San Miguel";58,52;58,52
2022;"68";"Santander";"68689";"San Vicente de Chucurí";37,18;37,18
2022;"68";"Santander";"68705";"Santa Bárbara";64,07;64,07
2022;"68";"Santander";"68720";"Santa Helena del Opón";41,24;41,24
2022;"68";"Santander";"68745";"Simacota";64,05;64,05
2022;"68";"Santander";"68755";"Socorro";56,81;56,81
2022;"68";"Santander";"68770";"Suaita";38,33;38,33
2022;"68";"Santander";"68773";"Sucre";52,67;52,67
2022;"68";"Santander";"68780";"Suratá";58,73;58,73
2022;"68";"Santander";"68820";"Tona";56,49;56,49
2022;"68";"Santander";"68855";"Valle de San José";60,31;60,31
2022;"68";"Santander";"68861";"Vélez";44,34;44,34
2022;"68";"Santander";"68867";"Vetas";57,93;57,93
2022;"68";"Santander";"68872";"Villanueva";55,12;55,12
2022;"68";"Santander";"68895";"Zapatoca";63,32;63,32
