DEPARTAMENTO,MUNICIPIO,anio,cobertura_neta_pct,cobertura_neta_ha,base_ha_2000
Santander,Bucaramanga,2022,96.76237018937078,11547.359999999999,11933.73
Santander,Aguada,2022,94.64956647398843,7073.7300000000005,7473.6
Santander,Albania,2022,98.05180615555294,15749.64,16062.57
Santander,Aratoca,2022,96.82987652819172,7163.91,7398.45
Santander,Barbosa,2022,90.82836833751237,3553.56,3912.39
Santander,Barichara,2022,97.5367630004175,5677.02,5820.39
Santander,Barrancabermeja,2022,77.30295505890142,72092.79000000001,93260.07
Santander,Betulia,2022,88.06672224430248,32705.549999999996,37137.24
Santander,Bolívar,2022,82.18956353284199,75221.82,91522.35
Santander,Cabrera,2022,92.343882853094,4398.57,4763.25
Santander,California,2022,98.32976041838442,3756.6,3820.41
Santander,Capitanejo,2022,99.61876832844574,3668.76,3682.8
Santander,Carcasí,2022,99.35489369513483,13639.41,13727.97
Santander,Cepitá,2022,99.12877216400007,4946.04,4989.51
Santander,Cerrito,2022,98.80031857086689,8820.27,8927.37
Santander,Charalá,2022,98.58422197541083,36667.8,37194.39
Santander,Charta,2022,97.96635759165497,11562.929999999998,11802.96
Santander,Chima,2022,97.80790853687343,16769.43,17145.27
Santander,Chipatá,2022,96.184994504541,5985.9,6223.32
Santander,Cimitarra,2022,76.26758049379714,176126.31,230932.08
Santander,Concepción,2022,99.47519802427492,11890.35,11953.08
Santander,Confines,2022,93.27294442462502,5412.06,5802.39
Santander,Contratación,2022,98.87758833336433,14358.42,14521.41
Santander,Coromoro,2022,98.9931116449191,53223.3,53764.65
Santander,Curití,2022,93.25625014472395,10873.8,11660.13
Santander,El Carmen de Chucurí,2022,90.6871399947023,88432.83,97514.19
Santander,El Guacamayo,2022,97.35367313208839,9224.28,9475.02
Santander,El Peñón,2022,90.25460616791221,38629.17,42800.22
Santander,El Playón,2022,93.9302777591605,44146.619999999995,46999.35
Santander,Encino,2022,98.77499648212137,34114.770000000004,34537.86
Santander,Enciso,2022,99.4178767134425,5502.69,5534.91
Santander,Florián,2022,97.44900503715526,17585.550000000003,18045.9
Santander,Floridablanca,2022,96.05154451132499,8056.89,8388.09
Santander,Galán,2022,96.26169806847815,15348.87,15944.94
Santander,Gámbita,2022,97.98243472096412,55977.12,57129.75
Santander,Girón,2022,88.45115106663023,25643.97,28992.24
Santander,Guaca,2022,98.90633564404321,13804.11,13956.75
Santander,Guadalupe,2022,97.45025624556754,13108.95,13451.94
Santander,Guapotá,2022,97.12714515976107,5531.76,5695.38
Santander,Guavatá,2022,97.90071863771286,9023.94,9217.44
