from_id,05 - MEDELLÍN,08 - BARRANQUILLA,"11 - BOGOTÁ, D.C.",13 - CARTAGENA DE INDIAS,15 - TUNJA,17 - MANIZALES,18 - FLORENCIA,19 - POPAYÁN,20 - VALLEDUPAR,23 - MONTERÍA,27 - QUIBDÓ,41 - NEIVA,44 - RIOHACHA,47 - SANTA MARTA,50 - VILLAVICENCIO,52 - PASTO,54 - SAN JOSÉ DE CÚCUTA,63 - ARMENIA,66 - PEREIRA,68 - BUCARAMANGA,70 - SINCELEJO,73 - IBAGUÉ,76 - CALI,81 - ARAUCA,85 - YOPAL,86 - MOCOA,88 - SAN ANDRÉS,91 - LETICIA,94 - INÍRIDA,95 - SAN JOSÉ DEL GUAVIARE,97 - MITÚ,99 - PUERTO CARREÑO
05 - MEDELLÍN,0,713.76,NA,646.96,418.99,218.04,819.69,576.08,758.32,420.59,NA,603.07,920.05,NA,524.27,867.72,613.82,315.44,258.52,404.3,466.75,376.12,447.8,NA,632.45,915.08,NA,NA,NA,NA,NA,NA
08 - BARRANQUILLA,721.85,0,NA,118.68,871.34,932.15,1416.43,1290.19,299.64,389.95,NA,1199.8,267.02,NA,1121,1690.43,680.9,1097.76,972.63,591,257.88,1008.35,1161.91,NA,1112.1,1511.81,NA,NA,NA,NA,NA,NA
"11 - BOGOTÁ, D.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13 - CARTAGENA DE INDIAS,654.51,119.46,NA,0,906.46,864.81,1384.28,1222.85,358.71,322.62,NA,1167.65,388.11,NA,1088.85,1658.28,716.02,962.21,905.29,626.12,190.54,976.2,1094.57,NA,1147.22,1479.66,NA,NA,NA,NA,NA,NA
15 - TUNJA,420.34,869.97,NA,907.87,0,411,677.77,732.2,749.22,658.65,NA,461.15,910.95,NA,269.63,951.78,446.63,426.12,462.37,307.55,704.81,343.7,609.39,NA,254.25,773.16,NA,NA,NA,NA,NA,NA
17 - MANIZALES,219.46,930.9,NA,864.1,418.68,0,593.51,400.91,930.5,637.73,NA,376.89,1092.23,NA,407.62,692.55,786,110.72,72.09,576.47,683.89,171.4,272.63,NA,689.06,688.9,NA,NA,NA,NA,NA,NA
18 - FLORENCIA,820.82,1414.14,NA,1384.48,669.09,603.88,0,271.87,1293.39,1158.11,NA,233.57,1455.12,NA,636.74,407.98,1148.89,518.89,555.14,939.36,1204.27,436.48,405.35,NA,918.18,229.36,NA,NA,NA,NA,NA,NA
19 - POPAYÁN,573.38,1284.83,NA,1218.03,713.73,397.59,306.4,0,1272.96,991.65,NA,278.22,1434.69,NA,681.38,305.55,1128.46,307.81,338.2,918.94,1037.82,394.58,145.47,NA,962.82,286.25,NA,NA,NA,NA,NA,NA
20 - VALLEDUPAR,746.04,284.3,NA,346.51,735.59,917.19,1280.68,1273.56,0,437.26,NA,1064.05,184.97,NA,985.25,1554.68,545.15,962.01,996.82,455.25,305.18,872.6,1145.28,NA,976.36,1376.06,NA,NA,NA,NA,NA,NA
23 - MONTERÍA,428.83,394.41,NA,327.6,658.68,639.12,1158.59,997.16,453.92,0,NA,941.97,615.65,NA,863.17,1432.6,731.38,736.53,679.6,641.49,147.4,750.51,868.89,NA,872.15,1253.97,NA,NA,NA,NA,NA,NA
27 - QUIBDÓ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41 - NEIVA,603.96,1197.27,NA,1167.61,452.22,387.01,234.66,289.08,1076.52,941.24,NA,0,1238.25,NA,419.87,508.66,932.02,302.02,338.27,722.49,987.4,219.61,377.94,NA,701.31,330.04,NA,NA,NA,NA,NA,NA
44 - RIOHACHA,920.09,268.49,NA,390.28,909.63,1091.24,1454.72,1447.6,177.37,611.3,NA,1238.1,0,NA,1159.29,1728.73,607.1,1136.05,1170.86,629.29,479.22,1046.64,1319.33,NA,1150.4,1550.1,NA,NA,NA,NA,NA,NA
47 - SANTA MARTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50 - VILLAVICENCIO,538.72,1132.03,NA,1102.38,271.31,409.07,639.6,694.03,1011.29,876.01,NA,422.98,1173.02,NA,0,913.61,754.49,389.53,425.78,563.54,922.17,307.11,572.81,NA,310.2,734.99,NA,NA,NA,NA,NA,NA
52 - PASTO,859.67,1683.51,NA,1653.85,938.46,683.88,404.09,301.54,1562.76,1427.48,NA,502.95,1724.49,NA,906.11,0,1418.26,594.1,624.49,1208.74,1473.65,705.85,431.76,NA,1187.56,174.59,NA,NA,NA,NA,NA,NA
54 - SAN JOSÉ DE CÚCUTA,613.31,678.32,NA,716.22,446.44,784.46,1147.95,1140.83,557.57,726.71,NA,931.32,610.22,NA,765.67,1421.95,0,829.28,864.09,242.65,594.63,739.87,1012.55,NA,585.06,1243.33,NA,NA,NA,NA,NA,NA
63 - ARMENIA,322.4,1093.64,NA,1063.99,416.26,116.05,516.63,309.74,972.9,837.62,NA,300.01,1134.62,NA,383.9,601.38,828.39,0,62.51,618.87,883.78,94.52,181.47,NA,665.35,612.02,NA,NA,NA,NA,NA,NA
66 - PEREIRA,264.29,975.74,NA,908.93,445.12,70.52,545.49,346.72,1001.76,682.56,NA,328.87,1163.49,NA,412.76,638.36,857.26,55.32,0,647.73,728.73,123.38,218.44,NA,694.21,640.88,NA,NA,NA,NA,NA,NA
68 - BUCARAMANGA,404.5,588.88,NA,626.78,302.03,575.65,939.13,932.01,468.13,637.27,NA,722.51,629.86,NA,556.49,1213.14,238.71,620.46,655.27,0,505.2,531.05,803.74,NA,476.55,1034.52,NA,NA,NA,NA,NA,NA
70 - SINCELEJO,474.78,258.43,NA,191.62,704.64,685.08,1204.55,1043.12,317.94,142.89,NA,987.92,479.67,NA,909.12,1478.55,595.4,782.48,725.56,505.51,0,796.47,914.84,NA,918.11,1299.93,NA,NA,NA,NA,NA,NA
