from_id,to_id,dist_km,dur_min
63 - ARMENIA,66 - PEREIRA,62.51,84.926
17 - MANIZALES,66 - PEREIRA,72.09,83.29366666666667
63 - ARMENIA,73 - IBAGUÉ,94.52,109.12183333333334
17 - MANIZALES,63 - ARMENIA,110.72,137.89066666666668
08 - BARRANQUILLA,13 - CARTAGENA DE INDIAS,118.68,102.76866666666666
66 - PEREIRA,73 - IBAGUÉ,123.38,145.25716666666668
19 - POPAYÁN,76 - CALI,145.47,199.72383333333335
23 - MONTERÍA,70 - SINCELEJO,147.4,137.68366666666668
17 - MANIZALES,73 - IBAGUÉ,171.4,200.59633333333335
52 - PASTO,86 - MOCOA,174.59,259.3555
63 - ARMENIA,76 - CALI,181.47,193.82466666666667
20 - VALLEDUPAR,44 - RIOHACHA,184.97,142.53816666666668
13 - CARTAGENA DE INDIAS,70 - SINCELEJO,190.54,153.1345
05 - MEDELLÍN,17 - MANIZALES,218.04,219.8671666666667
66 - PEREIRA,76 - CALI,218.44,218.61616666666666
41 - NEIVA,73 - IBAGUÉ,219.61,192.94633333333334
18 - FLORENCIA,86 - MOCOA,229.36,186.09099999999998
18 - FLORENCIA,41 - NEIVA,233.57,180.02366666666666
54 - SAN JOSÉ DE CÚCUTA,68 - BUCARAMANGA,242.65,207.61049999999997
15 - TUNJA,85 - YOPAL,254.25,301.8411666666667
08 - BARRANQUILLA,70 - SINCELEJO,257.88,192.61499999999998
05 - MEDELLÍN,66 - PEREIRA,258.52,254.30983333333333
08 - BARRANQUILLA,44 - RIOHACHA,267.02,212.52783333333335
15 - TUNJA,50 - VILLAVICENCIO,269.63,256.74816666666663
18 - FLORENCIA,19 - POPAYÁN,271.87,346.84933333333333
17 - MANIZALES,76 - CALI,272.63,273.3351666666667
19 - POPAYÁN,41 - NEIVA,278.22,316.0466666666667
73 - IBAGUÉ,76 - CALI,278.5,316.01666666666665
19 - POPAYÁN,86 - MOCOA,286.25,357.03933333333333
08 - BARRANQUILLA,20 - VALLEDUPAR,299.64,225.3075
41 - NEIVA,63 - ARMENIA,302.02,287.5955
20 - VALLEDUPAR,70 - SINCELEJO,305.18,222.52233333333334
19 - POPAYÁN,52 - PASTO,305.55,387.2316666666667
50 - VILLAVICENCIO,73 - IBAGUÉ,307.11,315.64833333333337
15 - TUNJA,68 - BUCARAMANGA,307.55,300.83883333333335
19 - POPAYÁN,63 - ARMENIA,307.81,349.53683333333333
50 - VILLAVICENCIO,85 - YOPAL,310.2,270.02483333333333
05 - MEDELLÍN,63 - ARMENIA,315.44,319.706
13 - CARTAGENA DE INDIAS,23 - MONTERÍA,322.62,272.69
41 - NEIVA,86 - MOCOA,330.04,248.37483333333333
19 - POPAYÁN,66 - PEREIRA,338.2,365.8258333333333
41 - NEIVA,66 - PEREIRA,338.27,332.07283333333334
15 - TUNJA,73 - IBAGUÉ,343.7,357.39616666666666
13 - CARTAGENA DE INDIAS,20 - VALLEDUPAR,358.71,269.9265
05 - MEDELLÍN,73 - IBAGUÉ,376.12,382.4116666666667
17 - MANIZALES,41 - NEIVA,376.89,360.8455
41 - NEIVA,76 - CALI,377.94,447.033
13 - CARTAGENA DE INDIAS,44 - RIOHACHA,388.11,308.6141666666666
50 - VILLAVICENCIO,63 - ARMENIA,389.53,410.29749999999996
08 - BARRANQUILLA,23 - MONTERÍA,389.95,312.17033333333336
19 - POPAYÁN,73 - IBAGUÉ,394.58,449.7545
17 - MANIZALES,19 - POPAYÁN,400.91,435.54150000000004
05 - MEDELLÍN,68 - BUCARAMANGA,404.3,338.35049999999995
18 - FLORENCIA,76 - CALI,405.35,468.50533333333334
17 - MANIZALES,50 - VILLAVICENCIO,407.62,440.856
18 - FLORENCIA,52 - PASTO,407.98,448.76483333333334
15 - TUNJA,17 - MANIZALES,411,451.7246666666667
05 - MEDELLÍN,15 - TUNJA,418.99,406.5021666666667
41 - NEIVA,50 - VILLAVICENCIO,419.87,368.9841666666667
05 - MEDELLÍN,23 - MONTERÍA,420.59,409.1605
76 - CALI,86 - MOCOA,421.94,530.4658333333333
50 - VILLAVICENCIO,66 - PEREIRA,425.78,454.77483333333333
15 - TUNJA,63 - ARMENIA,426.12,452.0455
52 - PASTO,76 - CALI,431.76,551.5313333333332
