id,lon,lat,depto_id,mpio_id,departamento,municipio,distancia_km,duracion_min
54 - SAN JOSÉ DE CÚCUTA,-72.468758731585325,8.076384268500078,54,001,54,SAN JOSÉ DE CÚCUTA,238.71,196.66199999999998
15 - TUNJA,-73.37940851345166,5.515278596500082,15,001,15,TUNJA,302.03,300.3666666666667
05 - MEDELLÍN,-75.60176963269353,6.268778177500053,05,001,05,MEDELLÍN,404.5,324.5063333333334
20 - VALLEDUPAR,-73.36690190071242,10.343109698000006,20,001,20,VALLEDUPAR,468.13,379.7646666666667
85 - YOPAL,-72.2411718938632,5.236945886000086,85,001,85,YOPAL,476.55,516.172
70 - SINCELEJO,-75.42769456524158,9.327757536000092,70,001,70,SINCELEJO,505.2,413.2715
73 - IBAGUÉ,-75.23165961676546,4.478597848000078,73,001,73,IBAGUÉ,531.05,422.40316666666666
50 - VILLAVICENCIO,-73.50446301619152,4.112346659000082,50,001,50,VILLAVICENCIO,556.49,518.2163333333333
17 - MANIZALES,-75.50719784889523,5.0742344930001195,17,001,17,MANIZALES,575.65,502.46
08 - BARRANQUILLA,-74.82327474010296,11.009633039000107,08,001,08,BARRANQUILLA,588.88,474.8015
63 - ARMENIA,-75.741162886379,4.491599480000076,63,001,63,ARMENIA,620.46,522.7381666666666
13 - CARTAGENA DE INDIAS,-75.49085578251515,10.41666443300008,13,001,13,CARTAGENA DE INDIAS,626.78,508.0568333333333
44 - RIOHACHA,-72.88251486118817,11.235205448000102,44,001,44,RIOHACHA,629.86,501.1743333333333
23 - MONTERÍA,-75.97920527629944,8.610998321000153,23,001,23,MONTERÍA,637.27,532.827
66 - PEREIRA,-75.78727588343251,4.784559396500185,66,001,66,PEREIRA,655.27,564.5516666666666
41 - NEIVA,-75.26046495667134,3.003603088000034,41,001,41,NEIVA,722.51,568.6631666666667
76 - CALI,-76.58183404216106,3.4107223060001104,76,001,76,CALI,803.74,712.5393333333334
19 - POPAYÁN,-76.54602167292015,2.4424067350000485,19,001,19,POPAYÁN,932.01,874.7455000000001
18 - FLORENCIA,-75.60533191979948,1.7584175155000707,18,001,18,FLORENCIA,939.13,719.4431666666666
86 - MOCOA,-76.64971519485644,1.1679318495001496,86,001,86,MOCOA,1034.52,786.8141666666667
52 - PASTO,-77.20540899398634,1.087562116000072,52,001,52,PASTO,1213.14,1049.4878333333334
"11 - BOGOTÁ, D.C.",-74.17478160484329,4.2838941090001015,11,001,11,"BOGOTÁ, D.C.",NA,NA
27 - QUIBDÓ,-76.3444825043206,5.983814703500087,27,001,27,QUIBDÓ,NA,NA
47 - SANTA MARTA,-73.8795629755872,11.086420788500078,47,001,47,SANTA MARTA,NA,NA
81 - ARAUCA,-70.49618386038156,6.794668425000111,81,001,81,ARAUCA,NA,NA
88 - SAN ANDRÉS,-81.72037345637304,12.537594482000145,88,001,88,SAN ANDRÉS,NA,NA
91 - LETICIA,-70.08756762805231,-3.570916459999893,91,001,91,LETICIA,NA,NA
94 - INÍRIDA,-68.390290168268,3.202354931500082,94,001,94,INÍRIDA,NA,NA
95 - SAN JOSÉ DEL GUAVIARE,-71.81755865946016,2.4685678190001568,95,001,95,SAN JOSÉ DEL GUAVIARE,NA,NA
97 - MITÚ,-70.47774236635007,0.9710147455000708,97,001,97,MITÚ,NA,NA
99 - PUERTO CARREÑO,-68.20727186991729,5.813443598000191,99,001,99,PUERTO CARREÑO,NA,NA
